股票代码,买入日期,买入价格,卖出日期,卖出价格,持仓天数,收益率,卖出原因
603709,2025-10-13,14.48,2025-10-14,14.76,1,0.01773701657458564,Maximum_Holding_Period
603711,2025-01-10,15.29,2025-01-13,14.5255,1,-0.05160000000000004,Extreme_Risk_Stop
603716,2023-09-01,11.63,2023-09-04,11.0485,1,-0.05160000000000004,Extreme_Risk_Stop
603716,2025-04-16,9.88,2025-04-17,9.386000000000001,1,-0.05159999999999993,Extreme_Risk_Stop
603717,2025-04-11,7.4,2025-04-14,7.29,1,-0.016464864864864936,Trend_Break_Stop
603718,2020-09-04,31.99,2020-09-07,30.390499999999996,1,-0.05160000000000004,Extreme_Risk_Stop
603719,2024-02-20,15.0,2024-02-21,15.55,1,0.03506666666666663,Maximum_Holding_Period
603721,2021-06-21,20.3,2021-06-22,21.69,1,0.06687290640394088,Maximum_Holding_Period
603721,2024-04-12,32.2,2024-04-15,30.59,1,-0.05160000000000004,Extreme_Risk_Stop
603721,2024-04-15,31.78,2024-04-16,30.191,1,-0.05160000000000004,Extreme_Risk_Stop
603726,2026-07-27,22.5,2026-07-28,23.85,1,0.058400000000000056,Maximum_Holding_Period
603727,2021-10-20,23.71,2021-10-21,24.97,1,0.05154213412062419,Maximum_Holding_Period
603727,2022-05-06,10.6,2022-05-09,10.85,1,0.021984905660377408,Maximum_Holding_Period
603729,2023-11-20,20.9,2023-11-21,22.11,1,0.056294736842105224,Maximum_Holding_Period
603729,2023-11-22,21.7,2023-11-23,21.03,1,-0.0324755760368663,Trend_Break_Stop
603729,2023-12-04,20.1,2023-12-05,20.77,1,0.03173333333333322,Maximum_Holding_Period
603729,2026-03-09,17.98,2026-03-10,18.59,1,0.03232658509454938,Maximum_Holding_Period
603730,2020-08-20,25.0,2020-08-21,24.34,1,-0.02799999999999998,Trend_Break_Stop
603730,2020-09-04,25.84,2020-09-07,27.03,1,0.04445263157894735,Maximum_Holding_Period
603733,2022-05-06,20.03,2022-05-09,20.97,1,0.045329605591612414,Maximum_Holding_Period
603733,2026-07-22,19.6,2026-07-23,21.01,1,0.07033877551020411,Maximum_Holding_Period
603738,2023-06-27,17.31,2023-06-28,16.444499999999998,1,-0.05160000000000004,Extreme_Risk_Stop
603757,2022-09-22,24.43,2022-09-23,25.61,1,0.04670126893164133,Maximum_Holding_Period
603758,2024-02-21,8.09,2024-02-22,8.48,1,0.046607663782447566,Maximum_Holding_Period
603767,2023-08-04,12.8,2023-08-07,13.1,1,0.0218375,Maximum_Holding_Period
603768,2022-11-03,17.9,2022-11-04,18.67,1,0.04141675977653652,Maximum_Holding_Period
603768,2023-11-07,22.11,2023-11-08,22.85,1,0.03186901854364548,Maximum_Holding_Period
603768,2023-11-09,22.16,2023-11-10,21.052,1,-0.05160000000000004,Extreme_Risk_Stop
603773,2025-04-15,21.86,2025-04-16,20.767,1,-0.05160000000000004,Extreme_Risk_Stop
603777,2020-09-22,15.64,2020-09-23,15.43,1,-0.015027109974424645,Trend_Break_Stop
603777,2021-07-15,16.0,2021-07-16,15.84,1,-0.01160000000000001,Maximum_Holding_Period
603777,2026-07-24,12.82,2026-07-27,13.2,1,0.028041185647425904,Maximum_Holding_Period
603777,2026-07-27,12.73,2026-07-28,13.1,1,0.02746520031421822,Maximum_Holding_Period
603777,2026-07-28,12.99,2026-07-29,13.43,1,0.03227220939183977,Maximum_Holding_Period
603778,2024-02-22,3.53,2024-02-23,3.78,1,0.06922152974504252,Maximum_Holding_Period
603778,2024-02-27,3.79,2024-02-28,3.6005,1,-0.05160000000000004,Extreme_Risk_Stop
603778,2024-07-02,2.96,2024-07-03,2.91,1,-0.018491891891891887,Maximum_Holding_Period
603778,2026-01-27,18.0,2026-01-28,17.099999999999998,1,-0.05160000000000015,Extreme_Risk_Stop
603778,2026-07-29,8.98,2026-07-30,8.531,1,-0.05159999999999993,Extreme_Risk_Stop
603786,2020-03-26,50.1,2020-03-27,48.78,1,-0.027947305389221588,Maximum_Holding_Period
603789,2022-05-06,7.29,2022-05-09,7.51,1,0.028578326474622707,Maximum_Holding_Period
603797,2020-07-16,9.66,2020-07-17,9.66,1,-0.0015999999999999999,Maximum_Holding_Period
603798,2026-07-27,11.55,2026-07-28,11.41,1,-0.0137212121212122,Trend_Break_Stop
603799,2020-04-08,31.46,2020-04-09,33.05,1,0.048940368722186815,Maximum_Holding_Period
603799,2026-03-30,59.0,2026-03-31,58.73,1,-0.006176271186440772,Trend_Break_Stop
603801,2022-05-19,19.7,2022-05-20,19.73,1,-7.715736040609777e-05,Trend_Break_Stop
603803,2020-04-08,13.15,2020-04-09,14.06,1,0.0676015209125476,Maximum_Holding_Period
603810,2020-07-21,38.8,2020-07-22,38.38,1,-0.012424742268041088,Maximum_Holding_Period
603810,2022-05-06,11.83,2022-05-09,12.1,1,0.02122333051563823,Maximum_Holding_Period
603810,2024-04-26,10.28,2024-04-29,10.8,1,0.04898365758754868,Maximum_Holding_Period
603811,2023-07-06,12.72,2023-07-07,12.85,1,0.00862012578616338,Maximum_Holding_Period
603815,2020-02-12,14.24,2020-02-13,15.03,1,0.0538775280898876,Maximum_Holding_Period
603815,2020-03-19,23.64,2020-03-20,22.458,1,-0.05160000000000004,Extreme_Risk_Stop
603815,2022-04-28,7.9,2022-04-29,8.48,1,0.07181772151898728,Maximum_Holding_Period
603817,2021-05-17,5.95,2021-05-18,5.88,1,-0.013364705882353011,Trend_Break_Stop
603819,2024-02-21,10.73,2024-02-22,11.45,1,0.06550158434296365,Maximum_Holding_Period
603822,2022-05-09,33.56,2022-05-10,38.2,1,0.13665983313468427,Maximum_Holding_Period
603822,2025-12-04,85.53,2025-12-05,82.41,1,-0.03807842862153638,Trend_Break_Stop
603825,2022-05-06,14.2,2022-05-09,14.96,1,0.051921126760563534,Maximum_Holding_Period
603825,2024-12-27,13.88,2024-12-30,13.186,1,-0.05160000000000004,Extreme_Risk_Stop
603828,2022-05-10,3.29,2022-05-11,3.32,1,0.00751854103343468,Maximum_Holding_Period
603829,2023-07-14,16.7,2023-07-17,16.84,1,0.006783233532934131,Maximum_Holding_Period
603833,2022-11-03,87.13,2022-11-04,89.91,1,0.03030634683805804,Maximum_Holding_Period
603839,2024-09-02,4.32,2024-09-03,4.3,1,-0.006229629629629761,Maximum_Holding_Period
603839,2025-01-10,5.47,2025-01-13,5.1964999999999995,1,-0.05160000000000004,Extreme_Risk_Stop
603843,2022-03-18,5.53,2022-03-21,5.82,1,0.05084122965641962,Maximum_Holding_Period
603843,2022-04-28,4.47,2022-04-29,4.246499999999999,1,-0.05160000000000015,Extreme_Risk_Stop
603843,2026-01-06,5.52,2026-01-07,6.21,1,0.1234,Maximum_Holding_Period
603858,2022-02-11,20.94,2022-02-14,19.893,1,-0.05160000000000004,Extreme_Risk_Stop
603860,2023-04-06,32.31,2023-04-07,30.6945,1,-0.05160000000000004,Extreme_Risk_Stop
603860,2024-02-20,24.7,2024-02-21,26.01,1,0.05143643724696361,Maximum_Holding_Period
603861,2026-03-27,16.31,2026-03-30,16.59,1,0.015567381974249051,Maximum_Holding_Period
603861,2026-03-30,16.56,2026-03-31,15.98,1,-0.03662415458937191,Trend_Break_Stop
603867,2022-07-18,27.65,2022-07-19,29.15,1,0.05264954792043391,Maximum_Holding_Period
603871,2020-06-29,22.03,2020-06-30,21.59,1,-0.021572764412165334,Trend_Break_Stop
603871,2022-04-01,18.24,2022-04-06,18.8,1,0.029101754385965118,Maximum_Holding_Period
603876,2022-05-06,25.9,2022-05-09,27.21,1,0.048979150579150636,Maximum_Holding_Period
603879,2023-09-14,8.4,2023-09-15,7.9799999999999995,1,-0.05160000000000004,Extreme_Risk_Stop
603880,2020-02-27,16.57,2020-02-28,17.49,1,0.053922027761013784,Maximum_Holding_Period
603880,2020-07-22,18.13,2020-07-23,17.223499999999998,1,-0.05160000000000004,Extreme_Risk_Stop
603880,2022-05-06,5.05,2022-05-09,5.26,1,0.039984158415841624,Maximum_Holding_Period
603880,2024-02-22,3.59,2024-02-23,3.78,1,0.05132479108635107,Maximum_Holding_Period
603881,2022-05-10,24.21,2022-05-11,24.59,1,0.014095993391160678,Maximum_Holding_Period
